"","X1","Provincie","Jaar_Kwartaal","Aantal_vacatures","Poep","Aantal_keren_stront_in_pot"
"1",1,"Zuid Holland","2017 Q4",1989,"22",1989
"2",2,"Zuid Holland","2017 Q3",1885,"22",1885
"3",3,"Zuid Holland","2016 Q3",1806,"22",1806
"4",4,"Zuid Holland","2017 Q2",1727,"22",1727
"5",5,"Zuid Holland","2017 Q1",1530,"22",1530
"6",6,NA,NA,NA,NA,NA
"7",7,NA,NA,NA,NA,NA
"8",8,NA,NA,NA,NA,NA
"9",9,"Zuid Holland","2016 Q4",1279,"22",1279
"10",10,"Zuid Holland","2016 Q2",1248,"22",1248
"11",11,"Zuid Holland","2016 Q1",1036,"22",1036
"12",12,NA,NA,NA,NA,NA
"13",13,NA,NA,NA,NA,NA
"14",14,"Noord Holland","2017 Q4",1826,"22",1826
"15",15,"Noord Holland","2016 Q3",1747,"22",1747
"16",16,"Noord Holland","2017 Q3",1709,"22",1709
"17",17,"Noord Holland","2017 Q2",1682,"22",1682
"18",18,"Noord Holland","2017 Q1",1631,"22",1631
"19",19,"Noord Holland","2016 Q2",1475,"22",1475
"20",20,"Noord Holland","2016 Q4",1375,"22",1375
"21",21,NA,NA,NA,NA,NA
"22",22,NA,NA,NA,NA,NA
"23",23,"Noord Holland","2016 Q1",1224,"22",1224
"24",24,NA,NA,NA,NA,NA
"25",25,NA,NA,NA,NA,NA
"26",26,NA,NA,NA,NA,NA
"27",27,"Noord Brabant","2017 Q2",1694,"22",1694
"28",28,"Noord Brabant","2017 Q4",1656,"22",1656
"29",29,"Noord Brabant","2016 Q3",1597,"22",1597
"30",30,"Noord Brabant","2017 Q3",1460,"22",1460
"31",31,"Noord Brabant","2017 Q1",1290,"22",1290
"32",32,"Noord Brabant","2016 Q2",1237,"22",1237
"33",33,"Noord Brabant","2016 Q4",1233,"22",1233
"34",34,NA,NA,NA,NA,NA
"35",35,NA,NA,NA,NA,NA
"36",36,NA,NA,NA,NA,NA
"37",37,NA,NA,NA,NA,NA
"38",38,"Noord Brabant","2016 Q1",935,"22",935
"39",39,NA,NA,NA,NA,NA
"40",40,"Onbekend","2017 Q4",1774,"22",1774
"41",41,"Onbekend","2017 Q3",1516,"22",1516
"42",42,"Onbekend","2017 Q2",1311,"22",1311
"43",43,NA,NA,NA,NA,NA
"44",44,NA,NA,NA,NA,NA
"45",45,"Onbekend","2017 Q1",1097,"22",1097
"46",46,NA,NA,NA,NA,NA
"47",47,"Onbekend","2016 Q3",1055,"22",1055
"48",48,"Onbekend","2016 Q2",856,"22",856
"49",49,"Onbekend","2016 Q4",853,"22",853
"50",50,NA,NA,NA,NA,NA
"51",51,"Onbekend","2016 Q1",733,"22",733
"52",52,NA,NA,NA,NA,NA
"53",53,"Utrecht","2017 Q2",1102,"22",1102
"54",54,"Utrecht","2016 Q3",1064,"22",1064
"55",55,"Utrecht","2017 Q3",1011,"22",1011
"56",56,"Utrecht","2017 Q1",932,"22",932
"57",57,"Utrecht","2017 Q4",915,"22",915
"58",58,NA,NA,NA,NA,NA
"59",59,"Utrecht","2016 Q4",826,"22",826
"60",60,"Utrecht","2016 Q2",753,"22",753
"61",61,NA,NA,NA,NA,NA
"62",62,NA,NA,NA,NA,NA
"63",63,NA,NA,NA,NA,NA
"64",64,"Utrecht","2016 Q1",567,"22",567
"65",65,NA,NA,NA,NA,NA
"66",66,"Gelderland","2017 Q4",968,"22",968
"67",67,"Gelderland","2017 Q3",877,"22",877
"68",68,"Gelderland","2017 Q2",869,"22",869
"69",69,"Gelderland","2016 Q3",828,"22",828
"70",70,"Gelderland","2017 Q1",747,"22",747
"71",71,NA,NA,NA,NA,NA
"72",72,"Gelderland","2016 Q2",691,"22",691
"73",73,"Gelderland","2016 Q4",642,"22",642
"74",74,NA,NA,NA,NA,NA
"75",75,NA,NA,NA,NA,NA
"76",76,"Gelderland","2016 Q1",493,"22",493
"77",77,NA,NA,NA,NA,NA
"78",78,NA,NA,NA,NA,NA
"79",79,"Limburg","2017 Q2",734,"22",734
"80",80,"Limburg","2016 Q3",718,"22",718
"81",81,NA,NA,NA,NA,NA
"82",82,"Limburg","2017 Q4",604,"22",604
"83",83,NA,NA,NA,NA,NA
"84",84,"Limburg","2017 Q3",584,"22",584
"85",85,"Limburg","2017 Q1",576,"22",576
"86",86,"Limburg","2016 Q2",564,"22",564
"87",87,"Limburg","2016 Q4",458,"22",458
"88",88,"Limburg","2016 Q1",439,"22",439
"89",89,NA,NA,NA,NA,NA
"90",90,NA,NA,NA,NA,NA
"91",91,NA,NA,NA,NA,NA
"92",92,"Overijssel","2017 Q3",579,"22",579
"93",93,"Overijssel","2017 Q4",579,"22",579
"94",94,"Overijssel","2017 Q2",565,"22",565
"95",95,"Overijssel","2016 Q3",536,"22",536
"96",96,"Overijssel","2017 Q1",443,"22",443
"97",97,NA,NA,NA,NA,NA
"98",98,"Overijssel","2016 Q2",402,"22",402
"99",99,"Overijssel","2016 Q4",365,"22",365
"100",100,NA,NA,NA,NA,NA
"101",101,NA,NA,NA,NA,NA
"102",102,"Overijssel","2016 Q1",263,"22",263
"103",103,NA,NA,NA,NA,NA
"104",104,NA,NA,NA,NA,NA
"105",105,"Friesland","2017 Q4",366,"22",366
"106",106,NA,NA,NA,NA,NA
"107",107,"Friesland","2017 Q2",342,"22",342
"108",108,"Friesland","2016 Q3",319,"22",319
"109",109,"Friesland","2017 Q3",306,"22",306
"110",110,"Friesland","2016 Q2",250,"22",250
"111",111,"Friesland","2017 Q1",246,"22",246
"112",112,NA,NA,NA,NA,NA
"113",113,NA,NA,NA,NA,NA
"114",114,"Friesland","2016 Q4",202,"22",202
"115",115,"Friesland","2016 Q1",148,"22",148
"116",116,NA,NA,NA,NA,NA
"117",117,NA,NA,NA,NA,NA
"118",118,"Groningen","2017 Q4",338,"22",338
"119",119,"Groningen","2016 Q3",282,"22",282
"120",120,"Groningen","2017 Q3",270,"22",270
"121",121,"Groningen","2017 Q2",231,"22",231
"122",122,NA,NA,NA,NA,NA
"123",123,"Groningen","2017 Q1",199,"22",199
"124",124,"Groningen","2016 Q2",187,"22",187
"125",125,"Groningen","2016 Q4",186,"22",186
"126",126,NA,NA,NA,NA,NA
"127",127,NA,NA,NA,NA,NA
"128",128,"Groningen","2016 Q1",145,"22",145
"129",129,NA,NA,NA,NA,NA
"130",130,NA,NA,NA,NA,NA
"131",131,"Flevoland","2016 Q3",211,"22",211
"132",132,"Flevoland","2017 Q2",196,"22",196
"133",133,"Flevoland","2017 Q3",173,"22",173
"134",134,"Flevoland","2017 Q1",168,"22",168
"135",135,"Flevoland","2017 Q4",161,"22",161
"136",136,"Flevoland","2016 Q4",144,"22",144
"137",137,NA,NA,NA,NA,NA
"138",138,"Flevoland","2016 Q2",131,"22",131
"139",139,NA,NA,NA,NA,NA
"140",140,NA,NA,NA,NA,NA
"141",141,NA,NA,NA,NA,NA
"142",142,"Flevoland","2016 Q1",87,"22",87
"143",143,NA,NA,NA,NA,NA
"144",144,"Zeeland","2017 Q2",158,"22",158
"145",145,"Zeeland","2017 Q1",149,"22",149
"146",146,"Zeeland","2016 Q3",134,"22",134
"147",147,"Zeeland","2017 Q4",134,"22",134
"148",148,"Zeeland","2017 Q3",115,"22",115
"149",149,"Zeeland","2016 Q2",109,"22",109
"150",150,NA,NA,NA,NA,NA
"151",151,"Zeeland","2016 Q4",105,"22",105
"152",152,"Zeeland","2016 Q1",79,"22",79
"153",153,NA,NA,NA,NA,NA
"154",154,NA,NA,NA,NA,NA
"155",155,NA,NA,NA,NA,NA
"156",156,NA,NA,NA,NA,NA
"157",157,"Drenthe","2017 Q2",117,"22",117
"158",158,"Drenthe","2017 Q1",114,"22",114
"159",159,"Drenthe","2016 Q3",97,"22",97
"160",160,"Drenthe","2016 Q4",95,"22",95
"161",161,"Drenthe","2016 Q2",85,"22",85
"162",162,"Drenthe","2017 Q4",81,"22",81
"163",163,NA,NA,NA,NA,NA
"164",164,"Drenthe","2017 Q3",80,"22",80
"165",165,"Drenthe","2016 Q1",76,"22",76
"166",166,NA,NA,NA,NA,NA
"167",167,NA,NA,NA,NA,NA
"168",168,NA,NA,NA,NA,NA
"169",169,NA,NA,NA,NA,NA
"170",170,"Noord Brabant","2017 Q2",2161,"24",2161
"171",171,"Noord Brabant","2017 Q3",1772,"24",1772
"172",172,"Noord Brabant","2016 Q3",1598,"24",1598
"173",173,"Noord Brabant","2017 Q4",1524,"24",1524
"174",174,"Noord Brabant","2017 Q1",1450,"24",1450
"175",175,"Noord Brabant","2016 Q2",1379,"24",1379
"176",176,"Noord Brabant","2016 Q4",1189,"24",1189
"177",177,NA,NA,NA,NA,NA
"178",178,NA,NA,NA,NA,NA
"179",179,"Noord Brabant","2016 Q1",711,"24",711
"180",180,NA,NA,NA,NA,NA
"181",181,NA,NA,NA,NA,NA
"182",182,NA,NA,NA,NA,NA
"183",183,"Gelderland","2017 Q2",1464,"24",1464
"184",184,"Gelderland","2017 Q3",1215,"24",1215
"185",185,"Gelderland","2017 Q4",1058,"24",1058
"186",186,"Gelderland","2017 Q1",920,"24",920
"187",187,"Gelderland","2016 Q3",863,"24",863
"188",188,"Gelderland","2016 Q2",783,"24",783
"189",189,NA,NA,NA,NA,NA
"190",190,"Gelderland","2016 Q4",717,"24",717
"191",191,NA,NA,NA,NA,NA
"192",192,"Gelderland","2016 Q1",504,"24",504
"193",193,NA,NA,NA,NA,NA
"194",194,NA,NA,NA,NA,NA
"195",195,NA,NA,NA,NA,NA
"196",196,"Zuid Holland","2017 Q4",1037,"24",1037
"197",197,"Zuid Holland","2017 Q2",990,"24",990
"198",198,"Zuid Holland","2017 Q3",947,"24",947
"199",199,NA,NA,NA,NA,NA
"200",200,"Zuid Holland","2017 Q1",656,"24",656
"201",201,"Zuid Holland","2016 Q3",609,"24",609
"202",202,"Zuid Holland","2016 Q2",538,"24",538
"203",203,"Zuid Holland","2016 Q4",507,"24",507
"204",204,NA,NA,NA,NA,NA
"205",205,"Zuid Holland","2016 Q1",363,"24",363
"206",206,NA,NA,NA,NA,NA
"207",207,NA,NA,NA,NA,NA
"208",208,NA,NA,NA,NA,NA
"209",209,"Limburg","2017 Q2",920,"24",920
"210",210,"Limburg","2017 Q3",762,"24",762
"211",211,"Limburg","2016 Q3",664,"24",664
"212",212,"Limburg","2017 Q4",661,"24",661
"213",213,"Limburg","2017 Q1",627,"24",627
"214",214,"Limburg","2016 Q2",584,"24",584
"215",215,"Limburg","2016 Q4",507,"24",507
"216",216,NA,NA,NA,NA,NA
"217",217,NA,NA,NA,NA,NA
"218",218,"Limburg","2016 Q1",361,"24",361
"219",219,NA,NA,NA,NA,NA
"220",220,NA,NA,NA,NA,NA
"221",221,NA,NA,NA,NA,NA
"222",222,"Noord Holland","2017 Q2",779,"24",779
"223",223,"Noord Holland","2017 Q3",748,"24",748
"224",224,"Noord Holland","2017 Q4",656,"24",656
"225",225,"Noord Holland","2016 Q3",584,"24",584
"226",226,"Noord Holland","2016 Q2",546,"24",546
"227",227,NA,NA,NA,NA,NA
"228",228,"Noord Holland","2017 Q1",501,"24",501
"229",229,"Noord Holland","2016 Q4",475,"24",475
"230",230,"Noord Holland","2016 Q1",340,"24",340
"231",231,NA,NA,NA,NA,NA
"232",232,NA,NA,NA,NA,NA
"233",233,NA,NA,NA,NA,NA
"234",234,NA,NA,NA,NA,NA
"235",235,"Onbekend","2017 Q4",985,"24",985
"236",236,"Onbekend","2017 Q3",816,"24",816
"237",237,"Onbekend","2017 Q2",675,"24",675
"238",238,NA,NA,NA,NA,NA
"239",239,NA,NA,NA,NA,NA
"240",240,NA,NA,NA,NA,NA
"241",241,"Onbekend","2017 Q1",401,"24",401
"242",242,"Onbekend","2016 Q3",382,"24",382
"243",243,"Onbekend","2016 Q2",361,"24",361
"244",244,"Onbekend","2016 Q4",337,"24",337
"245",245,"Onbekend","2016 Q1",236,"24",236
"246",246,NA,NA,NA,NA,NA
"247",247,NA,NA,NA,NA,NA
"248",248,"Overijssel","2017 Q2",806,"24",806
"249",249,"Overijssel","2017 Q3",747,"24",747
"250",250,"Overijssel","2017 Q4",580,"24",580
"251",251,"Overijssel","2016 Q3",528,"24",528
"252",252,"Overijssel","2017 Q1",488,"24",488
"253",253,NA,NA,NA,NA,NA
"254",254,"Overijssel","2016 Q2",400,"24",400
"255",255,"Overijssel","2016 Q4",399,"24",399
"256",256,NA,NA,NA,NA,NA
"257",257,"Overijssel","2016 Q1",272,"24",272
"258",258,NA,NA,NA,NA,NA
"259",259,NA,NA,NA,NA,NA
"260",260,NA,NA,NA,NA,NA
"261",261,"Utrecht","2017 Q2",538,"24",538
"262",262,"Utrecht","2017 Q3",435,"24",435
"263",263,"Utrecht","2017 Q4",387,"24",387
"264",264,NA,NA,NA,NA,NA
"265",265,"Utrecht","2016 Q3",304,"24",304
"266",266,"Utrecht","2017 Q1",299,"24",299
"267",267,"Utrecht","2016 Q2",258,"24",258
"268",268,"Utrecht","2016 Q4",250,"24",250
"269",269,NA,NA,NA,NA,NA
"270",270,NA,NA,NA,NA,NA
"271",271,"Utrecht","2016 Q1",155,"24",155
"272",272,NA,NA,NA,NA,NA
"273",273,NA,NA,NA,NA,NA
"274",274,"Friesland","2017 Q2",338,"24",338
"275",275,"Friesland","2017 Q3",260,"24",260
"276",276,"Friesland","2016 Q3",202,"24",202
"277",277,"Friesland","2017 Q4",188,"24",188
"278",278,"Friesland","2016 Q2",186,"24",186
"279",279,"Friesland","2017 Q1",157,"24",157
"280",280,"Friesland","2016 Q4",145,"24",145
"281",281,NA,NA,NA,NA,NA
"282",282,NA,NA,NA,NA,NA
"283",283,NA,NA,NA,NA,NA
"284",284,"Friesland","2016 Q1",114,"24",114
"285",285,NA,NA,NA,NA,NA
"286",286,NA,NA,NA,NA,NA
"287",287,"Drenthe","2017 Q2",289,"24",289
"288",288,"Drenthe","2017 Q3",234,"24",234
"289",289,"Drenthe","2016 Q3",219,"24",219
"290",290,"Drenthe","2017 Q4",179,"24",179
"291",291,"Drenthe","2017 Q1",165,"24",165
"292",292,"Drenthe","2016 Q2",153,"24",153
"293",293,NA,NA,NA,NA,NA
"294",294,"Drenthe","2016 Q4",132,"24",132
"295",295,NA,NA,NA,NA,NA
"296",296,"Drenthe","2016 Q1",91,"24",91
"297",297,NA,NA,NA,NA,NA
"298",298,NA,NA,NA,NA,NA
"299",299,NA,NA,NA,NA,NA
"300",300,"Groningen","2017 Q2",238,"24",238
"301",301,"Groningen","2017 Q3",172,"24",172
"302",302,"Groningen","2017 Q1",164,"24",164
"303",303,"Groningen","2017 Q4",163,"24",163
"304",304,"Groningen","2016 Q3",134,"24",134
"305",305,NA,NA,NA,NA,NA
"306",306,NA,NA,NA,NA,NA
"307",307,NA,NA,NA,NA,NA
"308",308,"Groningen","2016 Q2",103,"24",103
"309",309,"Groningen","2016 Q4",99,"24",99
"310",310,"Groningen","2016 Q1",88,"24",88
"311",311,NA,NA,NA,NA,NA
"312",312,NA,NA,NA,NA,NA
"313",313,"Flevoland","2017 Q2",268,"24",268
"314",314,"Flevoland","2017 Q3",178,"24",178
"315",315,"Flevoland","2017 Q1",160,"24",160
"316",316,"Flevoland","2016 Q3",150,"24",150
"317",317,"Flevoland","2017 Q4",147,"24",147
"318",318,"Flevoland","2016 Q2",124,"24",124
"319",319,"Flevoland","2016 Q4",122,"24",122
"320",320,NA,NA,NA,NA,NA
"321",321,NA,NA,NA,NA,NA
"322",322,"Flevoland","2016 Q1",69,"24",69
"323",323,NA,NA,NA,NA,NA
"324",324,NA,NA,NA,NA,NA
"325",325,NA,NA,NA,NA,NA
"326",326,"Zeeland","2017 Q2",188,"24",188
"327",327,"Zeeland","2016 Q3",161,"24",161
"328",328,"Zeeland","2016 Q2",137,"24",137
"329",329,"Zeeland","2017 Q3",126,"24",126
"330",330,"Zeeland","2017 Q1",123,"24",123
"331",331,NA,NA,NA,NA,NA
"332",332,"Zeeland","2017 Q4",111,"24",111
"333",333,NA,NA,NA,NA,NA
"334",334,NA,NA,NA,NA,NA
"335",335,"Zeeland","2016 Q1",81,"24",81
"336",336,"Zeeland","2016 Q4",81,"24",81
"337",337,NA,NA,NA,NA,NA
"338",338,NA,NA,NA,NA,NA
"339",339,"Zuid Holland","2017 Q2",1176,"13",1176
"340",340,"Zuid Holland","2017 Q1",922,"13",922
"341",341,"Zuid Holland","2017 Q4",917,"13",917
"342",342,"Zuid Holland","2017 Q3",879,"13",879
"343",343,"Zuid Holland","2016 Q4",805,"13",805
"344",344,"Zuid Holland","2016 Q3",778,"13",778
"345",345,"Zuid Holland","2016 Q2",735,"13",735
"346",346,NA,NA,NA,NA,NA
"347",347,NA,NA,NA,NA,NA
"348",348,NA,NA,NA,NA,NA
"349",349,NA,NA,NA,NA,NA
"350",350,"Zuid Holland","2016 Q1",572,"13",572
"351",351,NA,NA,NA,NA,NA
"352",352,"Noord Holland","2017 Q2",1060,"13",1060
"353",353,"Noord Holland","2017 Q3",901,"13",901
"354",354,"Noord Holland","2017 Q4",895,"13",895
"355",355,"Noord Holland","2016 Q2",874,"13",874
"356",356,"Noord Holland","2017 Q1",804,"13",804
"357",357,"Noord Holland","2016 Q3",764,"13",764
"358",358,NA,NA,NA,NA,NA
"359",359,"Noord Holland","2016 Q4",667,"13",667
"360",360,NA,NA,NA,NA,NA
"361",361,"Noord Holland","2016 Q1",619,"13",619
"362",362,NA,NA,NA,NA,NA
"363",363,NA,NA,NA,NA,NA
"364",364,NA,NA,NA,NA,NA
"365",365,"Noord Brabant","2017 Q2",962,"13",962
"366",366,"Noord Brabant","2017 Q1",857,"13",857
"367",367,"Noord Brabant","2017 Q4",767,"13",767
"368",368,"Noord Brabant","2016 Q3",765,"13",765
"369",369,"Noord Brabant","2016 Q2",758,"13",758
"370",370,"Noord Brabant","2017 Q3",738,"13",738
"371",371,"Noord Brabant","2016 Q4",626,"13",626
"372",372,NA,NA,NA,NA,NA
"373",373,NA,NA,NA,NA,NA
"374",374,NA,NA,NA,NA,NA
"375",375,"Noord Brabant","2016 Q1",494,"13",494
"376",376,NA,NA,NA,NA,NA
"377",377,NA,NA,NA,NA,NA
"378",378,"Utrecht","2017 Q2",746,"13",746
"379",379,"Utrecht","2017 Q1",592,"13",592
"380",380,"Utrecht","2017 Q3",537,"13",537
"381",381,"Utrecht","2016 Q4",524,"13",524
"382",382,"Utrecht","2017 Q4",517,"13",517
"383",383,"Utrecht","2016 Q3",512,"13",512
"384",384,"Utrecht","2016 Q2",496,"13",496
"385",385,NA,NA,NA,NA,NA
"386",386,NA,NA,NA,NA,NA
"387",387,NA,NA,NA,NA,NA
"388",388,NA,NA,NA,NA,NA
"389",389,"Utrecht","2016 Q1",367,"13",367
"390",390,NA,NA,NA,NA,NA
"391",391,"Onbekend","2017 Q4",816,"13",816
"392",392,NA,NA,NA,NA,NA
"393",393,"Onbekend","2017 Q3",579,"13",579
"394",394,"Onbekend","2017 Q2",566,"13",566
"395",395,NA,NA,NA,NA,NA
"396",396,NA,NA,NA,NA,NA
"397",397,"Onbekend","2017 Q1",408,"13",408
"398",398,"Onbekend","2016 Q2",406,"13",406
"399",399,"Onbekend","2016 Q3",396,"13",396
"400",400,"Onbekend","2016 Q1",366,"13",366
"401",401,"Onbekend","2016 Q4",343,"13",343
"402",402,NA,NA,NA,NA,NA
"403",403,NA,NA,NA,NA,NA
"404",404,"Gelderland","2017 Q2",634,"13",634
"405",405,"Gelderland","2017 Q1",496,"13",496
"406",406,"Gelderland","2017 Q3",470,"13",470
"407",407,"Gelderland","2017 Q4",465,"13",465
"408",408,"Gelderland","2016 Q3",408,"13",408
"409",409,"Gelderland","2016 Q2",402,"13",402
"410",410,"Gelderland","2016 Q4",350,"13",350
"411",411,NA,NA,NA,NA,NA
"412",412,NA,NA,NA,NA,NA
"413",413,NA,NA,NA,NA,NA
"414",414,NA,NA,NA,NA,NA
"415",415,"Gelderland","2016 Q1",241,"13",241
"416",416,NA,NA,NA,NA,NA
"417",417,"Limburg","2017 Q2",283,"13",283
"418",418,"Limburg","2017 Q4",275,"13",275
"419",419,"Limburg","2017 Q1",272,"13",272
"420",420,"Limburg","2017 Q3",242,"13",242
"421",421,"Limburg","2016 Q2",240,"13",240
"422",422,"Limburg","2016 Q3",235,"13",235
"423",423,"Limburg","2016 Q4",218,"13",218
"424",424,"Limburg","2016 Q1",200,"13",200
"425",425,NA,NA,NA,NA,NA
"426",426,NA,NA,NA,NA,NA
"427",427,NA,NA,NA,NA,NA
"428",428,NA,NA,NA,NA,NA
"429",429,NA,NA,NA,NA,NA
"430",430,"Overijssel","2017 Q2",238,"13",238
"431",431,"Overijssel","2017 Q1",214,"13",214
"432",432,"Overijssel","2016 Q3",205,"13",205
"433",433,"Overijssel","2017 Q4",182,"13",182
"434",434,"Overijssel","2016 Q2",181,"13",181
"435",435,"Overijssel","2017 Q3",174,"13",174
"436",436,"Overijssel","2016 Q4",152,"13",152
"437",437,NA,NA,NA,NA,NA
"438",438,NA,NA,NA,NA,NA
"439",439,NA,NA,NA,NA,NA
"440",440,NA,NA,NA,NA,NA
"441",441,"Overijssel","2016 Q1",116,"13",116
"442",442,NA,NA,NA,NA,NA
"443",443,"Zeeland","2017 Q2",140,"13",140
"444",444,"Zeeland","2017 Q1",122,"13",122
"445",445,"Zeeland","2016 Q2",102,"13",102
"446",446,"Zeeland","2017 Q3",97,"13",97
"447",447,NA,NA,NA,NA,NA
"448",448,"Zeeland","2016 Q3",94,"13",94
"449",449,"Zeeland","2017 Q4",81,"13",81
"450",450,NA,NA,NA,NA,NA
"451",451,"Zeeland","2016 Q1",76,"13",76
"452",452,"Zeeland","2016 Q4",76,"13",76
"453",453,NA,NA,NA,NA,NA
"454",454,NA,NA,NA,NA,NA
"455",455,NA,NA,NA,NA,NA
"456",456,"Groningen","2017 Q2",117,"13",117
"457",457,"Groningen","2017 Q1",106,"13",106
"458",458,"Groningen","2016 Q2",103,"13",103
"459",459,"Groningen","2017 Q4",102,"13",102
"460",460,"Groningen","2016 Q4",99,"13",99
"461",461,"Groningen","2016 Q3",92,"13",92
"462",462,"Groningen","2016 Q1",85,"13",85
"463",463,"Groningen","2017 Q3",79,"13",79
"464",464,NA,NA,NA,NA,NA
"465",465,NA,NA,NA,NA,NA
"466",466,NA,NA,NA,NA,NA
"467",467,NA,NA,NA,NA,NA
"468",468,NA,NA,NA,NA,NA
"469",469,"Flevoland","2017 Q1",125,"13",125
"470",470,"Flevoland","2017 Q2",122,"13",122
"471",471,"Flevoland","2017 Q3",108,"13",108
"472",472,"Flevoland","2016 Q4",100,"13",100
"473",473,"Flevoland","2016 Q2",89,"13",89
"474",474,"Flevoland","2016 Q3",88,"13",88
"475",475,"Flevoland","2016 Q1",79,"13",79
"476",476,"Flevoland","2017 Q4",79,"13",79
"477",477,NA,NA,NA,NA,NA
"478",478,NA,NA,NA,NA,NA
"479",479,NA,NA,NA,NA,NA
"480",480,NA,NA,NA,NA,NA
"481",481,NA,NA,NA,NA,NA
"482",482,"Friesland","2017 Q2",99,"13",99
"483",483,"Friesland","2016 Q2",84,"13",84
"484",484,"Friesland","2016 Q3",83,"13",83
"485",485,"Friesland","2016 Q4",76,"13",76
"486",486,NA,NA,NA,NA,NA
"487",487,NA,NA,NA,NA,NA
"488",488,"Friesland","2017 Q4",67,"13",67
"489",489,"Friesland","2017 Q1",65,"13",65
"490",490,"Friesland","2017 Q3",65,"13",65
"491",491,NA,NA,NA,NA,NA
"492",492,"Friesland","2016 Q1",53,"13",53
"493",493,NA,NA,NA,NA,NA
"494",494,NA,NA,NA,NA,NA
"495",495,"Drenthe","2017 Q4",97,"13",97
"496",496,"Drenthe","2017 Q1",92,"13",92
"497",497,"Drenthe","2017 Q2",82,"13",82
"498",498,"Drenthe","2017 Q3",76,"13",76
"499",499,"Drenthe","2016 Q4",65,"13",65
"500",500,"Drenthe","2016 Q2",57,"13",57
"501",501,NA,NA,NA,NA,NA
"502",502,NA,NA,NA,NA,NA
"503",503,"Drenthe","2016 Q3",49,"13",49
"504",504,"Drenthe","2016 Q1",44,"13",44
"505",505,NA,NA,NA,NA,NA
"506",506,NA,NA,NA,NA,NA
"507",507,NA,NA,NA,NA,NA
"508",508,"Noord Brabant","2017 Q2",1436,"15",1436
"509",509,"Noord Brabant","2017 Q3",1155,"15",1155
"510",510,"Noord Brabant","2017 Q4",1064,"15",1064
"511",511,"Noord Brabant","2016 Q3",900,"15",900
"512",512,"Noord Brabant","2017 Q1",881,"15",881
"513",513,"Noord Brabant","2016 Q2",877,"15",877
"514",514,NA,NA,NA,NA,NA
"515",515,"Noord Brabant","2016 Q4",725,"15",725
"516",516,"Noord Brabant","2016 Q1",554,"15",554
"517",517,NA,NA,NA,NA,NA
"518",518,NA,NA,NA,NA,NA
"519",519,NA,NA,NA,NA,NA
"520",520,NA,NA,NA,NA,NA
"521",521,"Zuid Holland","2017 Q2",981,"15",981
"522",522,"Zuid Holland","2017 Q4",916,"15",916
"523",523,"Zuid Holland","2017 Q3",777,"15",777
"524",524,NA,NA,NA,NA,NA
"525",525,"Zuid Holland","2017 Q1",676,"15",676
"526",526,"Zuid Holland","2016 Q3",619,"15",619
"527",527,"Zuid Holland","2016 Q2",601,"15",601
"528",528,"Zuid Holland","2016 Q4",550,"15",550
"529",529,"Zuid Holland","2016 Q1",429,"15",429
"530",530,NA,NA,NA,NA,NA
"531",531,NA,NA,NA,NA,NA
"532",532,NA,NA,NA,NA,NA
"533",533,NA,NA,NA,NA,NA
"534",534,"Noord Holland","2017 Q2",834,"15",834
"535",535,"Noord Holland","2017 Q4",722,"15",722
"536",536,"Noord Holland","2017 Q3",689,"15",689
"537",537,"Noord Holland","2016 Q3",588,"15",588
"538",538,"Noord Holland","2017 Q1",554,"15",554
"539",539,"Noord Holland","2016 Q2",538,"15",538
"540",540,NA,NA,NA,NA,NA
"541",541,"Noord Holland","2016 Q4",478,"15",478
"542",542,"Noord Holland","2016 Q1",391,"15",391
"543",543,NA,NA,NA,NA,NA
"544",544,NA,NA,NA,NA,NA
"545",545,NA,NA,NA,NA,NA
"546",546,NA,NA,NA,NA,NA
"547",547,"Gelderland","2017 Q2",904,"15",904
"548",548,"Gelderland","2017 Q3",734,"15",734
"549",549,"Gelderland","2017 Q4",605,"15",605
"550",550,"Gelderland","2017 Q1",488,"15",488
"551",551,NA,NA,NA,NA,NA
"552",552,"Gelderland","2016 Q4",396,"15",396
"553",553,"Gelderland","2016 Q3",383,"15",383
"554",554,"Gelderland","2016 Q2",374,"15",374
"555",555,NA,NA,NA,NA,NA
"556",556,NA,NA,NA,NA,NA
"557",557,"Gelderland","2016 Q1",216,"15",216
"558",558,NA,NA,NA,NA,NA
"559",559,NA,NA,NA,NA,NA
"560",560,"Onbekend","2017 Q4",835,"15",835
"561",561,"Onbekend","2017 Q3",709,"15",709
"562",562,"Onbekend","2017 Q2",629,"15",629
"563",563,NA,NA,NA,NA,NA
"564",564,NA,NA,NA,NA,NA
"565",565,"Onbekend","2017 Q1",356,"15",356
"566",566,NA,NA,NA,NA,NA
"567",567,"Onbekend","2016 Q3",340,"15",340
"568",568,"Onbekend","2016 Q2",314,"15",314
"569",569,"Onbekend","2016 Q4",293,"15",293
"570",570,"Onbekend","2016 Q1",255,"15",255
"571",571,NA,NA,NA,NA,NA
"572",572,NA,NA,NA,NA,NA
"573",573,"Limburg","2017 Q2",652,"15",652
"574",574,"Limburg","2017 Q3",569,"15",569
"575",575,"Limburg","2017 Q4",519,"15",519
"576",576,"Limburg","2016 Q3",436,"15",436
"577",577,"Limburg","2017 Q1",422,"15",422
"578",578,"Limburg","2016 Q2",401,"15",401
"579",579,"Limburg","2016 Q4",388,"15",388
"580",580,NA,NA,NA,NA,NA
